Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,10-May-18,333013,Ace Site Services (UK) Limited,3543,Revenue
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,10-May-18,356020,The Abbey Cleaning Services Limited,572.01,Revenue
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,10-May-18,402501,Waveley Fire & Security Limited,870,Revenue
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,10-May-18,403342,Harcourt Litho Limited,500,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,10-May-18,405100,Duncan M Evans,3210.07,Revenue
DIRECT ENVIRONMENT AND HOUSING,HOUSING,10-May-18,407119,Hays Specialist Recruitment Limited,1036.34,Revenue
DIRECT ENVIRONMENT AND HOUSING,HOUSING,10-May-18,407119,Hays Specialist Recruitment Limited,1528.31,Revenue
DIRECT ENVIRONMENT AND HOUSING,HOUSING,10-May-18,407245,Lyreco UK Limited,748.14,Revenue
DIRECT ENVIRONMENT AND HOUSING,HOUSING,10-May-18,409103,Heatforce (Wales) Limited,1565.09,Revenue
DIRECT ENVIRONMENT AND HOUSING,HOUSING,10-May-18,409103,Heatforce (Wales) Limited,15866.83,Revenue
DIRECT ENVIRONMENT AND HOUSING,HOUSING,10-May-18,409103,Heatforce (Wales) Limited,11153.93,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,10-May-18,420211,Otech Limited,645,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,10-May-18,421230,Power Tecnique Limited,1745,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,10-May-18,422160,Anderselite Limited,687.5,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF MISCELLANEOUS POLICY,10-May-18,479050,Terrance Pearson T/A TP Pearson & Son,8266.36,Revenue
DIRECT CAPITAL DEVELOPMENT,CAPITAL ECO DEV,10-May-18,834231,HR Thomas Limited,7650,Capital
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,10-May-18,842181,Integral Geotechnique (Wales) Limited,2480,Capital
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,10-May-18,842181,Integral Geotechnique (Wales) Limited,7425,Capital
