Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,Valebrook Care Homes Limited,1657.04,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,Valebrook Care Homes Limited,2000.1,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,Valebrook Care Homes Limited,1421.34,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,Valebrook Care Homes Limited,1765.95,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,Valebrook Care Homes Limited,1861.95,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,Valebrook Care Homes Limited,1390.84,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,218321,Adriana Limited T/A The Priory Nursing Home,536,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,218321,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,708.67,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,218321,Hafod Care Association Limited,619.96,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,218321,Harrison Care Enterprises Barry Limited t/a Island View,508.27,Revenue
