Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type,Minority Group
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,216179,All Care (South Wales) Limited,894.24,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,217909,GJ Care & Training Limited,699.26,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,217909,GJ Care & Training Limited,699.26,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,217909,GJ Care & Training Limited,699.26,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,218321,GJ Care & Training Limited,570.43,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,218321,GJ Care & Training Limited,570.43,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,218321,GJ Care & Training Limited,572.43,Revenue,agen
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,27-Jun-18,101137,Dinas Windows Limited,1238.33,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,27-Jun-18,101305,Millstone Construction (Wales) Limited,1595,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,27-Jun-18,102593,SysCon Limited,1450,Revenue,Companies
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,27-Jun-18,102636,Empire Fighting Chance,700,Revenue,Companies
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,27-Jun-18,130041,Edson Print (Services) Limited,3139,Revenue,Companies
DIRECT LEARNING AND SKILLS,GF CATERING,27-Jun-18,154401,ABM Catering for Leisure Limited,889.9,Revenue,Companies
DIRECT LEARNING AND SKILLS,GF CATERING,27-Jun-18,154401,ABM Catering for Leisure Limited,744.55,Revenue,Companies
DIRECT LEARNING AND SKILLS,GF CATERING,27-Jun-18,154401,ABM Catering for Leisure Limited,1486.28,Revenue,Companies
DIRECT LEARNING AND SKILLS,GF CATERING,27-Jun-18,154401,ABM Catering for Leisure Limited,710,Revenue,Companies
DIRECT LEARNING AND SKILLS,GF CATERING,27-Jun-18,154401,ABM Catering for Leisure Limited,742,Revenue,Companies
DIRECT LEARNING AND SKILLS,GF CATERING,27-Jun-18,154401,ABM Catering for Leisure Limited,742,Revenue,Companies
DIRECT LEARNING AND SKILLS,GF CATERING,27-Jun-18,154401,ABM Catering for Leisure Limited,802.75,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,215489,Cartrefi Cymru Co-Operative Limited,2832,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,215489,Cartrefi Cymru Co-Operative Limited,1026,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,215489,Cartrefi Cymru Co-Operative Limited,2832,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,215489,Cartrefi Cymru Co-Operative Limited,1026,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,217909,Cartrefi Cymru Co-Operative Limited,1961.75,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,217909,Cartrefi Cymru Co-Operative Limited,531,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,217909,Everycare (Cardiff) Limited,813.96,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,217909,National Autistic Society,1097.86,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,218302,Training In Mind Limited,6226.8,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,218302,Training In Mind Limited,3267.3,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,27-Jun-18,323670,Drainforce Limited,970,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,27-Jun-18,323672,Drainforce Limited,3000,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,27-Jun-18,325000,Calibre Contracting Limited,1948.71,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,27-Jun-18,325000,Calibre Contracting Limited,820.08,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,27-Jun-18,325000,Garth Plant Hire Limited,1106.25,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,27-Jun-18,325000,Garth Plant Hire Limited,553.12,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,27-Jun-18,325069,Metric Group Limited,951.62,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,27-Jun-18,325097,Dwr Cymru Cyf,1691.24,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,27-Jun-18,325202,Metric Group Limited,951.63,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,27-Jun-18,325338,Conemasters Limited,1660,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,27-Jun-18,325342,Conemasters Limited,3240,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,27-Jun-18,325342,NAL Limited,609.3,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,27-Jun-18,325562,Conemasters Limited,800,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,27-Jun-18,325750,Calibre Contracting Limited,846.5,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,27-Jun-18,325851,Calibre Contracting Limited,820.08,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,27-Jun-18,325851,Calibre Contracting Limited,696.25,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,27-Jun-18,325852,Conemasters Limited,800,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,27-Jun-18,325890,Pudsey Diamond Engineering Limited,771.9,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,27-Jun-18,325894,Calibre Contracting Limited,1847.22,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,27-Jun-18,325894,Calibre Contracting Limited,1948.71,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,27-Jun-18,325894,Garth Plant Hire Limited,1171.25,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,27-Jun-18,325894,Garth Plant Hire Limited,553.13,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,27-Jun-18,350740,Mount Events Barry Limited,610,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,27-Jun-18,356020,Farmtrack Limited t/a John E Jeremy,600,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,27-Jun-18,365803,Apollo Minibus & Coach Hire Limited,1890,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,27-Jun-18,365803,Merricks Private Transport Contractors Limited,25140,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,27-Jun-18,365803,Merricks Private Transport Contractors Limited,15862,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,27-Jun-18,365803,Tasmim Limited,14976.6,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,27-Jun-18,400063,British Telecommunications Plc - Redcare,2990.34,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,27-Jun-18,405100,L Mustoe Limited,1038.5,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,HOUSING,27-Jun-18,407114,IOTS (UK) Limited,1300,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,HOUSING,27-Jun-18,407400,Glamorgan Gem Limited,500,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,27-Jun-18,421230,Bluesource Information Limited,29089.51,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,27-Jun-18,421230,Pervasive Networks Limited,1338.75,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,27-Jun-18,422120,Alpine Land Surveyors Limited,2705,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF ELECTIONS,27-Jun-18,463100,Critiqom Limited,4109.75,Revenue,Companies
DIRECT CAPITAL LEARN AND SKILLS,AR CAPITAL SCHOOLS,27-Jun-18,812281,Thornlink Limited T/A Vale Consultancy,1150,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL BUILDING,27-Jun-18,830000,Weeding Technologies Limited,24960.96,Capital,Companies
DIRECT CAPITAL DEVELOPMENT,CAPITAL ECO DEV,27-Jun-18,834231,Alun Griffiths (Contractors) Limited,469289.9,Capital,Companies
DIRECT CAPITAL DEVELOPMENT,CAPITAL ECO DEV,27-Jun-18,834231,Wales & West Utilities Limited,10482,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,831.63,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,745.32,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,802.86,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,716.55,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,716.55,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,630.24,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,659.01,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,601.47,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,601.47,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,831.63,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,860.4,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,946.71,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,917.94,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1378.26,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1616.32,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1616.32,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1623.07,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1623.07,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1623.07,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1623.07,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1623.07,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1623.07,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1623.07,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1623.07,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1623.07,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1623.07,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1623.07,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1623.07,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1623.07,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1623.07,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1623.07,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1623.07,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1623.07,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1623.07,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1623.07,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1623.07,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1623.07,Capital,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,27-Jun-18,842116,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,1623.07,Capital,Companies
DIRECT CAPITAL POLICY,CAPITAL POLICY,27-Jun-18,852235,Risual Limited,2550,Capital,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,27-Jun-18,405113,Cardiff County Council,50297.84,Revenue,Other Local Authorites
DIRECT MANAGING DIRECTOR AND RESOURCES,GF GENERAL EXPENDITURE POLICY,27-Jun-18,471900,Rhondda Cynon Taff County Borough Council,1692.61,Revenue,Other Local Authorites
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,27-Jun-18,130030,Iolo Povey,501,Revenue,Professional Services
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,27-Jun-18,325097,Natural Resources Wales,1110.55,Revenue,Public Bodies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,27-Jun-18,101005,Valley Education Services Limited,733.56,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,27-Jun-18,101141,Apollo Teaching Services Limited,700,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,27-Jun-18,101195,Millennium Personnel Services (Education) Limited,838,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,27-Jun-18,101305,TeacherActive Limited,1188,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,27-Jun-18,103065,New Directions (Education) Limited,657.5,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,HOUSING,27-Jun-18,407118,James Andrews Recruitment Solutions Limited,940,Revenue,recy
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,215489,Vale Care Services Limited,555.75,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,216179,Crosshands Care Limited,4502.04,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,217909,Crosshands Care Limited,6646.48,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,217909,Crosshands Care Limited,5800.64,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,217909,Crosshands Care Limited,6781.6,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,217909,Crosshands Care Limited,4008,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,217909,Susan Heffernan T/A Baruc Guest House,656.2,Revenue,Sole Traders
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,217909,Susan Heffernan T/A Baruc Guest House,980,Revenue,Sole Traders
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,27-Jun-18,365790,Nigel Martlew t/a Caring Coaches,7144,Revenue,Sole Traders
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,27-Jun-18,365795,Nigel Martlew t/a Caring Coaches,3056,Revenue,Sole Traders
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,27-Jun-18,365803,Rhys VJ Morgan t/a Windsor Cars,1780,Revenue,Sole Traders
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,27-Jun-18,365803,Rhys VJ Morgan t/a Windsor Cars,578,Revenue,Sole Traders
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,27-Jun-18,365803,Rhys VJ Morgan t/a Windsor Cars,832,Revenue,Sole Traders
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,27-Jun-18,365803,Rhys VJ Morgan t/a Windsor Cars,800,Revenue,Sole Traders
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,27-Jun-18,102652,New College Worcester,14068,Revenue,Voluntary Organisations
DIRECT MANAGING DIRECTOR AND RESOURCES,GF GRANTS,27-Jun-18,465201,Sully Old School,1857,Revenue,Voluntary Organisations
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,All Care (South Wales) Limited,614.02,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,All Care (South Wales) Limited,618.94,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,All Care (South Wales) Limited,658.84,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,All Care (South Wales) Limited,690.96,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,All Care (South Wales) Limited,761.82,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,All Care (South Wales) Limited,747.07,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,All Care (South Wales) Limited,655.53,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,All Care (South Wales) Limited,670.28,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,All Care (South Wales) Limited,670.28,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,724.65,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,724.65,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,730.93,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,715.42,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,724.65,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,724.65,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,620.83,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,637.71,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,538.31,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,696.19,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,595.62,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,622.72,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,781.05,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,670.84,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,Cherish Cymru Limited,617.9,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,28-Jun-18,215489,Cherish Cymru Limited,574.79,Revenue,agen
